Transaction ID,Transaction Type,Asset ID,Date Of Transaction,Money Amount,Purchase/Sale Price Per Splint,Fees,Purchase/Sale Confirmation,Day1Profit
852930,Primary market purchase,228a8d05-26ed-4061-b133-45c4ff509dad,04.08.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-08-04 - e30DgPRv.pdf,
845363,Primary market purchase,5c107acb-042c-4b17-bbcf-20232f4c8d9c,26.07.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-07-26 - euMHX8bM.pdf,
840641,Exit sale,e9f8bb6f-76ba-45e1-9cdb-f77ba1ccaaf7,20.07.2026,59.77 EUR,59.77 EUR,0.00 EUR,generated_files/Exit confirmation 2026-07-20 - YMgiVjr6.pdf,
830939,Primary market purchase,139efc0e-2ee7-43b8-b887-524f03643a8f,08.07.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-07-08 - XWNHIUMk.pdf,
827710,Marketplace purchase,44f22708-e03f-4635-bf03-4fe701fe08a1,03.07.2026,44.80 EUR,44.80 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-07-03 - ZWEBujpB.pdf,6.16
827713,Marketplace purchase,29b0be5b-307f-48e4-bf8d-d4798f1def52,03.07.2026,43.00 EUR,43.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-07-03 - 1OvEMNI6.pdf,7.62
823715,Exit sale,97cb3aa5-02e2-4fb8-9c6a-23bcda3388b8,29.06.2026,63.92 EUR,63.92 EUR,0.00 EUR,generated_files/Exit confirmation 2026-06-29 - uDr1kVY6.pdf,
823886,Marketplace purchase,b762f544-5aa4-4853-a07b-d5b7b67dd46d,29.06.2026,65.16 EUR,65.16 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-06-29 - IqSeIPjd.pdf,2.34
817403,Marketplace purchase,ee483029-3a5d-49d2-9c84-b521ed41bae1,20.06.2026,42.30 EUR,42.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-06-20 - ghEV738t.pdf,
811992,Marketplace purchase,22078aa5-73f2-45ee-9b3b-56f0b8d6a606,13.06.2026,46.10 EUR,46.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-06-13 - se8LARM8.pdf,6.29
811995,Marketplace purchase,d400480d-b463-4161-aa49-8c9e26a687bb,13.06.2026,49.20 EUR,49.20 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-06-13 - RjfnxIOj.pdf,6.76
792636,Marketplace purchase,023b106f-ad82-441e-9d1a-a0d21b358242,22.05.2026,47.30 EUR,47.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-22 - lOI1i9wQ.pdf,11.8
792639,Marketplace purchase,87dd696a-488d-48cb-b6bc-87152ef0ed95,22.05.2026,40.50 EUR,40.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-22 - vyuwgZWO.pdf,
789246,Marketplace purchase,396b576c-100b-462a-97ca-55339ba4a03a,18.05.2026,52.90 EUR,52.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-18 - sHTbmQNo.pdf,
779655,Primary market purchase,acd858bb-ae77-41fc-bfa6-55bd6f1b9383,06.05.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-06 - Rpc7VXGP.pdf,
777907,Exit sale,64169723-b0fe-46f5-ba8a-2e371c3c28d0,04.05.2026,80.66 EUR,80.66 EUR,0.00 EUR,generated_files/Exit confirmation 2026-05-04 - N500xuKi.pdf,
776981,Marketplace purchase,e2bc0133-ffde-41f4-93a5-df858b0849b3,03.05.2026,52.20 EUR,52.20 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-03 - ior1iIrZ.pdf,
776983,Marketplace purchase,d81ce499-35e6-4eab-b061-c8dc05cb9c0b,03.05.2026,56.10 EUR,56.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-03 - eBRXl7xn.pdf,
776987,Marketplace purchase,563eb0f2-d1fb-4745-aac5-1577a2ab7e68,03.05.2026,48.90 EUR,48.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-05-03 - 7RFIngaS.pdf,
770313,Marketplace purchase,4215353a-68ff-4718-b3d4-a717b6bf2eb8,24.04.2026,44.00 EUR,44.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-24 - S4JAJuNI.pdf,5.97
770316,Primary market purchase,8c3bbedd-0dd5-4fba-87e9-6da747ffbd1f,24.04.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-24 - UTIR32Pa.pdf,
767546,Marketplace purchase,164578a4-7644-4cb6-9df1-77330051de94,19.04.2026,49.78 EUR,49.78 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-19 - uWkJaI9q.pdf,0.33
763845,Marketplace purchase,a817302f-a842-41df-8a08-740242e385d8,11.04.2026,52.50 EUR,52.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-11 - Frt4X2BG.pdf,5.59
763851,Marketplace purchase,25d68008-2bda-49a0-9afa-26afa2ca1b7b,11.04.2026,47.50 EUR,47.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-11 - mRVErwqR.pdf,7.62
761635,Primary market purchase,2824e42b-9fe9-4d88-a77c-839c152596db,07.04.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-07 - teQsHyQI.pdf,
761637,Primary market purchase,bd92e467-6cbb-4283-af1e-fd47d6b8b40c,07.04.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-07 - pljH89NY.pdf,
759235,Marketplace purchase,b8a049c6-7bc7-48e2-81fe-b2706a46fac6,02.04.2026,55.70 EUR,55.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-02 - zwSRhyRY.pdf,7.62
